,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,Khingansk,49.1167,131.1833,-1.75,99,91,2.89,RU,1669052219
359,Garoowe,8.4054,48.4845,78.3,31,77,17.72,SO,1669052219
360,Dunedin,-45.8742,170.5036,51.8,83,78,4.7,NZ,1669052220
361,Belmonte,-15.8631,-38.8828,78.91,73,94,8.05,BR,1669052220
362,Ferrol,43.4832,-8.2369,54.68,68,62,24.79,ES,1669052220
363,Kütahya,39.4242,29.9833,53.29,66,64,17.96,TR,1669052382
364,Dalbandin,28.8947,64.4101,58.86,25,5,1.45,PK,1669052488
365,Alofi,-19.0595,-169.9187,69.69,94,99,1.14,NU,1669052222
366,Onoda,34.0014,131.1836,55.38,90,41,3.89,JP,1669052489
367,Piaçabuçu,-10.4056,-36.4344,80.62,69,100,12.17,BR,1669052489
368,Ada,43.4166,-116.1262,27.99,74,0,7.0,US,1669052223
369,Thinadhoo,0.5333,72.9333,81.57,76,62,14.63,MV,1669052224
370,Milas,37.3164,27.7839,60.15,88,75,5.75,TR,1669052490
371,Bobrovka,54.047,61.7455,9.48,86,5,5.77,RU,1669052491
372,Tianpeng,30.9866,103.9393,52.27,60,100,1.66,CN,1669052491
373,Dangcagan,7.61,125.0041,69.67,93,79,3.22,PH,1669052226
374,Gao,16.6362,1.637,80.56,10,98,9.4,ML,1669052492
375,Suluktu,39.9337,69.57,36.88,50,42,6.8,KG,1669052492
376,Fuling,29.7022,107.3919,59.56,95,20,0.83,CN,1669052492
377,Ulaanbaatar,47.9077,106.8832,1.53,85,40,2.24,MN,1669052227
378,Maniwaki,46.3834,-75.966,26.98,74,100,11.5,CA,1669052493
379,Meulaboh,4.1363,96.1285,76.77,88,93,2.57,ID,1669052493
380,Río Gallegos,-51.6226,-69.2181,71.65,14,75,19.57,AR,1669052494
381,Kirakira,-10.4544,161.9205,80.67,78,42,6.26,SB,1669052494
382,Kangaatsiaq,68.3065,-53.4641,14.32,95,92,6.49,GL,1669052495
383,Astorga,-23.2325,-51.6656,84.43,44,97,7.58,BR,1669052230
384,Mareeba,-17.0,145.4333,76.44,84,89,2.73,AU,1669052495
385,Sinnamary,5.3833,-52.95,85.1,66,27,13.78,GF,1669052496
386,Nev'yansk,57.4953,60.2112,15.1,85,59,9.13,RU,1669052496
387,Laas,46.6166,10.7002,43.68,71,76,4.43,IT,1669052497
388,Pringsewu,-5.3582,104.9744,73.98,94,89,3.56,ID,1669052233
389,Skjern,55.95,8.5,32.22,91,75,6.42,DK,1669052497
390,Magadan,59.5667,150.8,25.54,94,100,16.62,RU,1669052497
391,Mazatlán,23.2167,-106.4167,80.56,72,20,7.0,MX,1669052408
392,Tarko-Sale,64.9225,77.785,-4.52,95,100,18.54,RU,1669052498
393,Durban,-29.8579,31.0292,74.32,86,100,3.0,ZA,1669052350
394,Ganj Dundwāra,27.7333,78.95,65.46,39,0,6.69,IN,1669052498
395,Touros,-5.1989,-35.4608,82.87,58,56,16.84,BR,1669052499
396,Quatre Cocos,-20.2078,57.7625,76.08,73,1,6.82,MU,1669052499
397,Sungai Besar,3.6746,100.9867,76.48,92,85,6.71,MY,1669052500
398,Abapó,-18.8333,-63.4667,88.11,31,61,9.08,BO,1669052237
399,Rincon,32.296,-81.2354,59.92,58,75,8.05,US,1669052500
400,Kysyl-Syr,63.8986,122.7617,-28.32,100,99,0.45,RU,1669052238
401,Paungde,18.4833,95.5,72.37,62,2,5.48,MM,1669052238
402,Los Llanos de Aridane,28.6585,-17.9182,70.12,79,75,12.66,ES,1669052486
403,Panabá,21.2833,-88.2667,86.77,56,100,2.71,MX,1669052501
404,Poltava,49.5937,34.5407,48.42,95,100,14.38,UA,1669052501
405,Kamenka,51.3223,42.7678,34.07,99,100,9.35,RU,1669052240
406,Keta,5.9179,0.9879,84.42,78,47,11.79,GH,1669052502
407,El Fuerte,26.4189,-108.6194,77.34,28,55,2.39,MX,1669052502
408,Paita,-5.0892,-81.1144,72.1,65,8,13.4,PE,1669052503
409,Guerrero Negro,27.9769,-114.0611,70.86,34,18,0.81,MX,1669052503
410,Mehamn,71.0357,27.8492,39.11,93,75,4.61,NO,1669052504
411,Flinders,-34.5833,150.8552,54.18,59,1,11.99,AU,1669052504
412,Pangnirtung,66.1451,-65.7125,6.8,36,75,0.0,CA,1669052366
413,Ürümqi,43.801,87.6005,27.55,100,0,2.24,CN,1669052505
414,Lundazi,-12.2929,33.1782,75.58,47,24,9.33,ZM,1669052505
415,Bonfim,3.0833,-59.95,89.2,50,70,9.8,BR,1669052505
416,Kupang,-10.1667,123.5833,78.33,83,98,3.62,ID,1669052506
417,Leningradskiy,69.3833,178.4167,-14.55,85,79,10.85,RU,1669052506
418,Kitimat,54.0524,-128.6534,34.18,99,100,3.24,CA,1669052506
419,Muyezerskiy,63.9333,31.65,16.09,98,64,0.92,RU,1669052247
420,Cortes,41.9395,-1.4396,50.05,72,98,21.77,ES,1669052507
421,Leh,34.1667,77.5833,12.31,62,4,2.42,IN,1669052507
422,Acajutla,13.5928,-89.8275,85.21,59,92,1.28,SV,1669052508
423,Samarai,-10.6167,150.6667,81.14,78,100,6.06,PG,1669052508
424,San Rafael del Sur,11.8485,-86.4384,85.17,73,100,11.5,NI,1669052509
425,Yar-Sale,66.8333,70.8333,-8.1,96,100,16.28,RU,1669052509
426,Lichuan,30.3,108.85,51.57,97,96,1.74,CN,1669052509
427,Balclutha,-46.2339,169.75,49.15,74,78,3.65,NZ,1669052251
428,Salinópolis,-0.6136,-47.3561,84.49,67,79,12.91,BR,1669052510
429,Lazarev,52.225,141.5131,18.07,86,97,4.47,RU,1669052251
430,Ketchikan,55.3422,-131.6461,45.07,93,100,17.27,US,1669052510
431,Gilgit,35.9221,74.3087,31.53,57,2,3.98,PK,1669052511
432,Mangai,-4.05,19.5333,68.18,99,100,1.36,CD,1669052252
433,Maxixe,-23.8597,35.3472,75.02,53,20,10.36,MZ,1669052511
434,Gairatganj,23.4202,78.2385,60.21,47,25,5.57,IN,1669052512
435,Williston,48.147,-103.618,25.32,79,66,1.01,US,1669052281
436,Lichinga,-13.3128,35.2406,77.09,53,0,8.05,MZ,1669052512
437,Hay River,60.8156,-115.7999,24.78,80,20,8.05,CA,1669052513
438,Iroquois Falls,48.7669,-80.6831,29.98,89,100,13.91,CA,1669052513
439,Tacna,-18.0056,-70.2483,75.4,44,0,10.36,PE,1669052255
440,Bac Lieu,9.285,105.7244,76.17,87,100,2.93,VN,1669052355
441,García,25.8167,-100.5833,56.57,96,83,4.61,MX,1669052402
442,Kapuskasing,49.4169,-82.4331,23.09,86,100,17.27,CA,1669052256
443,Kieta,-6.2167,155.6333,77.54,77,46,2.28,PG,1669052514
444,Lunsar,8.6833,-12.5333,83.16,60,94,1.21,SL,1669052257
445,Romitan,39.9343,64.3814,51.75,62,0,9.22,UZ,1669052515
446,Manjeshwar,12.7194,74.8861,76.15,77,64,4.43,IN,1669052258
447,Turukhansk,65.8167,87.9833,-11.25,97,100,4.32,RU,1669052515
448,Waingapu,-9.6567,120.2641,80.19,81,86,1.14,ID,1669052516
449,Grindavik,63.8424,-22.4338,41.47,87,75,23.02,IS,1669052413
450,Batticaloa,7.7102,81.6924,78.37,76,69,4.9,LK,1669052516
451,Yangjiang,21.85,111.9667,72.81,92,100,6.73,CN,1669052517
452,Sarauli,28.5,79.1,64.11,44,0,7.38,IN,1669052517
453,Pangody,65.85,74.4859,-5.31,94,100,17.43,RU,1669052517
454,Saint-Augustin,51.226,-58.6502,23.36,76,100,21.45,CA,1669052518
455,Lādnūn,27.65,74.3833,64.51,31,0,5.35,IN,1669052375
456,Preobrazheniye,42.9019,133.9064,32.22,61,0,7.4,RU,1669052261
457,Taltal,-25.4,-70.4833,65.23,71,18,4.43,CL,1669052518
458,Petatlán,17.5167,-101.2667,87.3,55,17,5.37,MX,1669052519
459,Magangué,9.242,-74.7547,88.38,64,63,3.94,CO,1669052519
460,Winfield,37.2398,-96.9956,48.51,45,0,9.22,US,1669052519
461,Severnoye,56.3491,78.3619,7.39,93,92,9.62,RU,1669052520
462,Rumoi,43.9344,141.6428,43.12,88,98,17.49,JP,1669052520
463,Tilichiki,60.4667,166.1,0.88,94,100,9.33,RU,1669052264
464,Comodoro Rivadavia,-45.8667,-67.5,76.86,11,0,16.11,AR,1669052264
465,Rock Sound,24.9,-76.2,81.0,71,77,14.27,BS,1669052521
466,Okhotsk,59.3833,143.3,17.04,78,100,13.6,RU,1669052521
467,Carpinteria,34.3989,-119.5185,74.37,33,82,2.77,US,1669052522
468,Kismayo,-0.3582,42.5454,79.77,82,59,10.29,SO,1669052522
469,Manbij,36.5281,37.9549,59.52,57,100,6.24,SY,1669052266
470,Broome,42.2506,-75.833,37.53,45,0,11.5,US,1669052523
471,Karpathos,35.507,27.2132,67.96,73,20,19.57,GR,1669052523
472,San Policarpo,12.1791,125.5072,80.37,84,93,10.36,PH,1669052524
473,Sur,22.5667,59.5289,77.04,65,1,3.74,OM,1669052524
474,Harper,4.375,-7.7169,79.61,80,30,5.64,LR,1669052524
475,Kouango,4.9934,19.9619,79.54,44,95,2.84,CF,1669052525
476,Penzance,50.1186,-5.5371,47.52,76,40,23.02,GB,1669052525
477,Narsaq,60.9167,-46.05,25.02,92,34,5.32,GL,1669052526
478,Khovd,48.0056,91.6419,23.59,47,87,6.67,MN,1669052526
479,Nador,35.174,-2.9287,66.45,72,0,9.22,MA,1669052270
480,Solton,52.8429,86.4787,12.79,87,100,2.13,RU,1669052527
481,Moose Factory,51.2585,-80.6094,21.2,86,100,13.8,CA,1669052527
482,Cogealac,44.55,28.5667,42.84,82,100,10.56,RO,1669052271
483,Ocós,14.5094,-92.1933,82.78,72,100,4.52,GT,1669052528
484,Novo Aripuanã,-5.1206,-60.3797,91.35,48,95,2.89,BR,1669052272
485,Nelson Bay,-32.7167,152.15,58.08,49,0,11.99,AU,1669052528
486,Maragogi,-9.0122,-35.2225,80.83,65,56,10.56,BR,1669052273
487,San Jose,37.3394,-121.895,61.41,54,75,0.0,US,1669052288
488,Saint-Pierre,-21.3393,55.4781,74.88,73,0,2.3,RE,1669052529
489,Chachoengsao,13.6167,101.4167,80.49,85,96,3.27,TH,1669052521
490,Glendive,47.1053,-104.7125,27.48,79,0,5.75,US,1669052529
491,Vila,42.0304,-8.1588,43.68,85,82,9.48,PT,1669052274
492,Wabag,-5.4781,143.7021,51.8,98,99,2.55,PG,1669052530
493,Darhan,49.4867,105.9228,17.87,76,100,1.25,MN,1669052530
494,Skjervøy,70.0311,20.9714,24.8,45,0,6.4,NO,1669052275
495,Verāval,20.9,70.3667,75.11,40,0,7.09,IN,1669052531
496,Ponérihouen,-21.0833,165.4,75.94,87,27,4.45,NC,1669052531
497,Oakdale,44.963,-92.9649,31.39,64,0,9.22,US,1669052532
498,Chul'man,56.8479,124.9104,-26.68,100,100,1.14,RU,1669052532
499,Lanzhou,36.0564,103.7922,40.23,35,43,1.9,CN,1669052277
500,Tari,12.4086,4.4914,81.9,15,99,9.42,NG,1669052533
501,Jiwani,25.05,61.7417,79.47,65,1,10.8,PK,1669052278
502,Nurota,40.5614,65.6886,51.62,64,23,10.92,UZ,1669052533
503,Mumford,5.2618,-0.759,79.79,81,59,10.6,GH,1669052534
504,Nísia Floresta,-6.0911,-35.2086,86.81,55,57,13.8,BR,1669052534
505,Preslav,43.1667,26.8167,47.59,79,97,7.34,BG,1669052280
506,Karema,-6.8205,30.4389,75.29,75,81,2.55,TZ,1669052535
507,Anchorage,61.2181,-149.9003,39.2,92,100,3.44,US,1669052470
508,Yulara,-25.2406,130.9889,70.54,29,100,14.54,AU,1669052281
509,Cairns,-16.9167,145.7667,81.07,86,55,3.44,AU,1669052535
510,Moen,69.1304,18.6123,5.72,85,0,0.0,NO,1669052536
511,Sibut,5.718,19.0739,79.03,42,83,2.66,CF,1669052536
512,Manali,13.1667,80.2667,75.29,93,100,15.48,IN,1669052537
513,Kenmare,51.8833,-9.5833,49.06,85,72,22.21,IE,1669052537
514,Port-Cartier,50.0334,-66.8654,26.82,73,8,9.08,CA,1669052537
515,Kawalu,-7.3817,108.2082,72.82,97,99,1.99,ID,1669052313
516,Bawku,11.0616,-0.2417,84.9,16,88,7.45,GH,1669052539
517,Burnie,-41.0667,145.9167,41.94,82,18,11.9,AU,1669052286
518,Necochea,-38.5473,-58.7368,57.88,83,100,18.32,AR,1669052286
519,Lamont,35.2597,-118.9143,69.13,22,40,2.8,US,1669052539
520,Georgiyevka,43.0369,74.7114,44.64,93,75,11.18,KZ,1669052287
521,Pacaembu,-21.5622,-51.2606,94.08,26,100,2.68,BR,1669052540
522,Inta,66.0317,60.1659,-17.25,100,42,1.81,RU,1669052540
523,Saint-Pierre-des-Corps,47.3833,0.7333,48.85,78,0,11.5,FR,1669052541
524,Sarakhs,36.5449,61.1577,53.74,54,0,0.0,IR,1669052541
525,Arman',59.7,150.1667,26.02,94,100,11.21,RU,1669052541
526,Griffith,41.5284,-87.4237,44.28,48,0,19.57,US,1669052542
527,Baruun-Urt,46.6806,113.2792,18.19,64,54,6.29,MN,1669052542
528,Rubiataba,-15.1644,-49.8033,82.0,53,66,5.53,BR,1669052543
529,Rafai,4.95,23.9167,75.6,45,62,2.64,CF,1669052292
530,Ambovombe,-25.1667,46.0833,66.81,65,51,6.85,MG,1669052543
531,Dwārka,22.2394,68.9678,78.51,58,1,6.91,IN,1669052544
532,Bonavista,48.6499,-53.1147,32.92,89,66,50.53,CA,1669052544
533,Aragarças,-15.8975,-52.2508,92.05,49,40,9.22,BR,1669052515
